"",ADDRESS,NAME
ALLEGANY,422,104
ANNE ARUNDEL,4060,3056
BALTIMORE CITY,8273,4032
BALTIMORE CO.,6461,3906
CALVERT,491,342
CAROLINE,136,108
CARROLL,1115,534
CECIL,648,310
CHARLES,1325,538
DORCHESTER,281,96
FREDERICK,2523,1017
GARRETT,79,81
HARFORD,2304,919
HOWARD,2885,1453
KENT,91,34
MONTGOMERY,12070,8635
PR. GEORGE'S,6756,3236
QUEEN ANNE'S,423,154
ST. MARY'S,622,296
SOMERSET,99,56
TALBOT,266,187
WASHINGTON,648,565
WICOMICO,513,259
WORCESTER,585,231
